,Preposition,Accuracy,Count,Dataset,Model,Seed,Epochs,Epoch
0,left_of,0.55,20,Controlled_Images_A,NegCLIP_finetuned_contrastive,1,,10.0
1,on,0.0952380952380952,21,Controlled_Images_A,NegCLIP_finetuned_contrastive,1,,10.0
2,right_of,0.0952380952380952,21,Controlled_Images_A,NegCLIP_finetuned_contrastive,1,,10.0
3,under,0.4761904761904761,21,Controlled_Images_A,NegCLIP_finetuned_contrastive,1,,10.0
0,left_of,0.5,20,Controlled_Images_A,NegCLIP_finetuned_contrastive,1,,10.0
1,on,0.4285714285714285,21,Controlled_Images_A,NegCLIP_finetuned_contrastive,1,,10.0
2,right_of,0.5714285714285714,21,Controlled_Images_A,NegCLIP_finetuned_contrastive,1,,10.0
3,under,0.4761904761904761,21,Controlled_Images_A,NegCLIP_finetuned_contrastive,1,,10.0
0,left_of,0.6,20,Controlled_Images_A,NegCLIP_finetuned_extra_negatives,1,,10.0
1,on,0.5238095238095238,21,Controlled_Images_A,NegCLIP_finetuned_extra_negatives,1,,10.0
2,right_of,0.2857142857142857,21,Controlled_Images_A,NegCLIP_finetuned_extra_negatives,1,,10.0
3,under,0.42857142857142855,21,Controlled_Images_A,NegCLIP_finetuned_extra_negatives,1,,10.0
